City,Count,Proportion
Miami,186917,0.02418654110995128
Houston,169609,0.0219469339392229
Los Angeles,156491,0.020249501141348224
Charlotte,138652,0.0179411840441317
Dallas,130939,0.0169431432475158
Orlando,109733,0.014199145693640941
Austin,97359,0.01259798443118468
Raleigh,86079,0.011138383732905495
Nashville,72930,0.009436939621055051
Baton Rouge,71588,0.009263288545071836
Atlanta,68186,0.008823079185537635
Sacramento,66264,0.008574377719040065
San Diego,55504,0.007182063577773749
Phoenix,53974,0.006984085823485881
Minneapolis,51488,0.006662404322074352
Richmond,48845,0.006320407456333936
Oklahoma City,46092,0.005964176895840798
Jacksonville,42447,0.005492524010625582
Tucson,39304,0.005085828532372792
Columbia,38178,0.004940127256994923
San Antonio,37961,0.004912048059164552
Greenville,37802,0.004891473900385616
Saint Paul,37383,0.004837256463100246
Seattle,36564,0.004731280135804976
Portland,35399,0.004580532368651142
San Jose,34536,0.004468862563454782
Indianapolis,33219,0.004298446418097185
Chicago,32035,0.00414524010366788
Tampa,31193,0.004036287640197041
Denver,30557,0.0039539910050812995
Kansas City,30107,0.003895762253820162
Tulsa,28880,0.003736991858714793
Riverside,27410,0.00354677793792841
New Orleans,27354,0.003539531693327024
Bronx,27297,0.003532156051500613
Rochester,26866,0.0034763858475149456
Fort Lauderdale,26205,0.003390854281773586
Detroit,24865,0.00321746200024042
Grand Rapids,24764,0.0032043928805129203
Oakland,24674,0.0031927471302606925
Dayton,24572,0.003179548613308168
Brooklyn,22311,0.0028869814875272072
Columbus,22216,0.002874688751149856
San Bernardino,21990,0.0028454449782942624
New York,21699,0.00280779038581206
Omaha,21573,0.0027914863354589416
Bakersfield,21390,0.002767806643279412
Corona,21363,0.002764312918203744
Anaheim,21293,0.0027552551124520115
Long Beach,21146,0.002736233720373373
Hialeah,20844,0.0026971557584158984
Flint,20658,0.0026730878745612947
Washington,20505,0.002653290099132508
Salt Lake City,20463,0.0026478554156814686
Philadelphia,20433,0.002643973498930726
Lancaster,20167,0.0026095538370741423
Fort Worth,19766,0.0025576655498392173
Ontario,19642,0.0025416202939361485
Fort Myers,18633,0.0024110584938861752
San Francisco,17775,0.0023000356748149394
Springfield,17347,0.002244653662504346
Fresno,17200,0.002225632270425708
Saint Louis,17048,0.0022059638922219457
Birmingham,16947,0.002192894772494446
Chattanooga,16671,0.002157181138387615
Louisville,16644,0.0021536874133119463
Whittier,16617,0.002150193688236278
Memphis,16570,0.0021441120186601152
Lexington,16430,0.0021259964071566498
Sarasota,16247,0.002102316714977121
El Paso,16052,0.0020770842560972943
Spartanburg,15752,0.002038265088589869
Bradenton,15680,0.002028948488388087
Arlington,15494,0.0020048806045334837
Shreveport,15481,0.002003198440608162
Kissimmee,15411,0.0019941406348564293
Cincinnati,14474,0.001872895435008238
Newark,14226,0.0018408049232021
Pittsburgh,13926,0.001801985755694675
Saint Petersburg,13794,0.0017849053219914078
Pensacola,13269,0.0017169717788534137
Milwaukee,13037,0.0016869516226476716
Lafayette,12990,0.0016808699530715084
Hayward,12790,0.0016549905080665583
York,12734,0.0016477442634651722
Augusta,12410,0.001605819562557153
Norfolk,12314,0.0015933974289547772
Anderson,12238,0.001583563239852896
Madison,12089,0.0015642830533242082
Antioch,11900,0.0015398269777945305
Cleveland,11878,0.001536980238843986
Stockton,11754,0.0015209349829409169
Montgomery,11071,0.0014325566782490123
Glendale,10913,0.0014121119166951017
Pasadena,10746,0.0013905025801159683
Baldwin Park,10555,0.001365787710136241
Irvine,10422,0.0013485778792079492
Albany,10401,0.0013458605374824294
Tracy,10374,0.0013423668124067612
Hollywood,10338,0.0013377085123058702
Henrico,10293,0.0013318856371797563
Buffalo,10279,0.0013300740760294099
West Palm Beach,10169,0.0013158403812766873
Fremont,10051,0.0013005715087237668
Pomona,10044,0.0012996657281485935
Clearwater,9921,0.0012837498694705492
Fairfield,9906,0.001281808911095178
