City,Count,Proportion,Sampled_Count,Sampled_Proportion,Count_Difference,Proportion_Difference
Miami,186917,0.0241865411099512,93408.0,0.0241733750232267,93509.0,1.3166086724501064e-05
Houston,169609,0.0219469339392229,84788.0,0.021942575812236,84821.0,4.3581269868996075e-06
Los Angeles,156491,0.0202495011413482,78247.0,0.020249808104685,78244.0,-3.0696333680121923e-07
Charlotte,138652,0.0179411840441317,69203.0,0.0179092804870284,69449.0,3.1903557103300784e-05
Dallas,130939,0.0169431432475158,65401.0,0.0169253479348026,65538.0,1.779531271320009e-05
Orlando,109733,0.0141991456936409,54929.0,0.0142152633248845,54804.0,-1.6117631243600314e-05
Austin,97359,0.0125979844311846,48867.0,0.0126464576616566,48492.0,-4.847323047199939e-05
Raleigh,86079,0.0111383837329054,43016.0,0.0111322574083496,43063.0,6.126324555799298e-06
Nashville,72930,0.009436939621055,36556.0,0.0094604519671663,36374.0,-2.3512346111300916e-05
Baton Rouge,71588,0.0092632885450718,35890.0,0.009288095554809,35698.0,-2.4807009737200583e-05
Atlanta,68186,0.0088230791855376,34298.0,0.008876096442988,33888.0,-5.301725745040023e-05
Sacramento,66264,0.00857437771904,32993.0,0.008538371040396,33271.0,3.6006678644000256e-05
San Diego,55504,0.0071820635777737,27603.0,0.007143474549997,27901.0,3.858902777670054e-05
Phoenix,53974,0.0069840858234858,26877.0,0.0069555905329229,27097.0,2.849529056290004e-05
Minneapolis,51488,0.0066624043220743,25713.0,0.0066543550014156,25775.0,8.04932065869967e-06
Richmond,48845,0.0063204074563339,24513.0,0.0063438029070781,24332.0,-2.3395450744200484e-05
Oklahoma City,46092,0.0059641768958407,23001.0,0.0059525072682129,23091.0,1.1669627627800168e-05
Jacksonville,42447,0.0054925240106255,21140.0,0.0054708927285779,21307.0,2.163128204759994e-05
Tucson,39304,0.0050858285323727,19657.0,0.0050871020986592,19647.0,-1.2735662864998831e-06
Columbia,38178,0.0049401272569949,18998.0,0.0049165572401856,19180.0,2.3570016809300147e-05
San Antonio,37961,0.0049120480591645,19033.0,0.0049256150096038,18928.0,-1.3566950439299758e-05
Greenville,37802,0.0048914739003856,18719.0,0.0048443538782521,19083.0,4.712002213349935e-05
Saint Paul,37383,0.0048372564631002,18774.0,0.0048585875159093,18609.0,-2.133105280909941e-05
Seattle,36564,0.0047312801358049,18415.0,0.00476568068102,18149.0,-3.440054521510003e-05
Portland,35399,0.0045805323686511,17736.0,0.0045899599543074,17663.0,-9.427585656299718e-06
San Jose,34536,0.0044688625634547,17310.0,0.0044797139608176,17226.0,-1.0851397362899619e-05
Indianapolis,33219,0.0042984464180971,16549.0,0.0042827721743253,16670.0,1.5674243771800732e-05
Chicago,32035,0.0041452401036678,15897.0,0.0041140388697353,16138.0,3.1201233932499906e-05
Tampa,31193,0.004036287640197,15542.0,0.0040221672084938,15651.0,1.4120431703200376e-05
Denver,30557,0.0039539910050812,15439.0,0.0039955114870631,15118.0,-4.152048198190032e-05
Kansas City,30107,0.0038957622538201,15004.0,0.0038829363528658,15103.0,1.2825900954300043e-05
Tulsa,28880,0.0037369918587147,14538.0,0.0037623386228981,14342.0,-2.534676418340003e-05
Riverside,27410,0.0035467779379284,13582.0,0.0035149321210759,13828.0,3.18458168525001e-05
New Orleans,27354,0.003539531693327,13874.0,0.0035904997973647,13480.0,-5.096810403770009e-05
Bronx,27297,0.0035321560515006,13503.0,0.003494487441532,13794.0,3.7668609968600185e-05
