City,Sampled_Count,Sampled_Proportion
Miami,93408,0.02417337502322671
Houston,84788,0.021942575812236062
Los Angeles,78247,0.02024980810468504
Charlotte,69203,0.017909280487028497
Dallas,65401,0.016925347934802694
Orlando,54929,0.01421526332488459
Austin,48867,0.0126464576616566
Raleigh,43016,0.011132257408349607
Nashville,36556,0.009460451967166363
Baton Rouge,35890,0.00928809555480908
Atlanta,34298,0.00887609644298807
Sacramento,32993,0.008538371040396099
San Diego,27603,0.007143474549997076
Phoenix,26877,0.006955590532922921
Minneapolis,25713,0.0066543550014156
Richmond,24513,0.006343802907078155
Oklahoma City,23001,0.0059525072682129745
Jacksonville,21140,0.005470892728577987
Tucson,19657,0.005087102098659295
San Antonio,19033,0.004925615009603823
Columbia,18998,0.004916557240185648
Saint Paul,18774,0.004858587515909325
Greenville,18719,0.004844353878252192
Seattle,18415,0.004765680681020039
Portland,17736,0.004589959954307435
San Jose,17310,0.004479713960817642
Indianapolis,16549,0.004282772174325313
Chicago,15897,0.004114038869735301
Tampa,15542,0.0040221672084938065
Denver,15439,0.0039955114870631765
Kansas City,15004,0.0038829363528658524
Tulsa,14538,0.0037623386228981446
New Orleans,13874,0.0035904997973647585
Riverside,13582,0.00351493212107598
Bronx,13503,0.0034944874415320983
Rochester,13326,0.0034486810076173255
Fort Lauderdale,13026,0.003371042984032964
Oakland,12480,0.0032297417811094267
Detroit,12334,0.0031919579429650377
Grand Rapids,12312,0.003186264487902184
Dayton,12269,0.0031751363711884258
Brooklyn,11166,0.0028896872378099247
Columbus,11157,0.002887358097102394
San Bernardino,10998,0.0028462099446026822
New York,10846,0.0028068733459866058
Omaha,10824,0.0028011798909237527
Bakersfield,10746,0.002780994004791819
Corona,10706,0.002770642268313904
Anaheim,10630,0.002750973969005866
Long Beach,10537,0.002726906181694714
Hialeah,10408,0.0026935218315534385
Flint,10294,0.0026640193825913814
Salt Lake City,10285,0.0026616902418838506
Lancaster,10209,0.002642021942575812
Philadelphia,10207,0.0026415043557519165
Washington,10184,0.0026355521072771153
Fort Worth,9823,0.002542127685563934
Ontario,9807,0.002537986990972768
Fort Myers,9261,0.002396685788049231
San Francisco,8896,0.002302226192688258
Springfield,8701,0.0022517614773584233
Saint Louis,8535,0.0022088017709750766
Fresno,8496,0.0021987088279091095
Birmingham,8444,0.00218525157048782
Memphis,8354,0.002161960163412512
Chattanooga,8304,0.0021490204928151183
Lexington,8276,0.002141774277280578
Louisville,8266,0.0021391863431610993
Whittier,8138,0.002106060786431772
El Paso,8104,0.0020972618104255444
Sarasota,8013,0.002073711609938288
Spartanburg,7864,0.0020351513915580553
Arlington,7794,0.0020170358527217044
Shreveport,7792,0.0020165182658978087
Bradenton,7747,0.0020048725623601545
Kissimmee,7692,0.0019906389247030215
Cincinnati,7257,0.001878063790505698
Newark,7028,0.0018188000991696354
Pittsburgh,6970,0.001803790081276659
Saint Petersburg,6928,0.0017929207579748484
Pensacola,6632,0.0017163179080382787
Milwaukee,6500,0.0016821571776611598
Lafayette,6442,0.0016671471597681832
Hayward,6327,0.001637385917394178
Augusta,6306,0.0016319512557432729
York,6302,0.0016309160820954813
Norfolk,6240,0.0016148708905547133
Anderson,6131,0.0015866624086523953
Madison,6106,0.0015801925733536987
Cleveland,6009,0.001555089612394755
Antioch,5852,0.0015144590467189394
Stockton,5842,0.0015118711125994607
Montgomery,5581,0.0014443260320810664
Pasadena,5429,0.0014049894334649902
Glendale,5386,0.0013938613167512317
Baldwin Park,5304,0.0013726402569715064
Irvine,5239,0.0013558186851948947
Buffalo,5212,0.0013488312630723022
Albany,5203,0.0013465021223647714
Tracy,5160,0.001335374005651013
Hollywood,5138,0.0013296805505881599
Henrico,5135,0.0013289041703523161
Fremont,5097,0.0013190700206982971
West Palm Beach,5075,0.0013133765656354439
Pomona,5030,0.0013017308620977897
Fairfield,5006,0.0012955198202110408
Clearwater,4951,0.001281286182553908
Myrtle Beach,4880,0.0012629118503056092
Ocala,4771,0.0012347033684032911
Santa Ana,4730,0.0012240928385134286
Gardena,4716,0.0012204697307461583
Tempe,4675,0.0012098592008562955
Fontana,4668,0.0012080476469726606
Florence,4635,0.0011995074643783808
Norwalk,4608,0.0011925200422557884
Alexandria,4588,0.0011873441740168308
Fairfax,4576,0.0011842386530734564
Baltimore,4562,0.0011806155453061861
Santa Rosa,4550,0.0011775100243628118
Orange,4544,0.0011759572638911245
Sherman Oaks,4527,0.0011715577758880107
Greer,4416,0.0011428317071617972
Elgin,4384,0.0011345503179794653
Summerville,4352,0.0011262689287971333
Modesto,4240,0.001097284066658972
Decatur,4193,0.001085120776297422
Charleston,4191,0.0010846031894735262
Livermore,4190,0.0010843443960615784
Huntsville,4182,0.0010822740487659954
Tacoma,4126,0.0010677816176969145
North Miami,4106,0.0010626057494579572
Frederick,4093,0.001059241435102635
Wilmington,4012,0.0010382791687348573
Silver Spring,3995,0.0010338796807317435
Downey,3977,0.0010292213993166818
Homestead,3969,0.0010271510520210988
Colorado Springs,3963,0.0010255982915494117
Woodbridge,3892,0.001007223959301113
Garner,3867,0.0010007541240024162
Rowland Heights,3841,0.0009940254952917715
Providence,3833,0.0009919551479961885
Diamond Bar,3829,0.000990919974348397
Colton,3800,0.0009834149654019088
Inglewood,3775,0.000976945130103212
Fredericksburg,3766,0.0009746159893956811
Virginia Beach,3753,0.0009712516750403588
Salinas,3701,0.0009577944176190695
Tallahassee,3676,0.0009513245823203728
Chesapeake,3650,0.0009445959536097282
Salem,3650,0.0009445959536097282
Ogden,3629,0.0009391612919588229
La Puente,3629,0.0009391612919588229
Jackson,3602,0.0009321738698362304
Cerritos,3522,0.0009114703968804007
Albuquerque,3513,0.0009091412561728698
Reno,3500,0.0009057769418175475
Sylmar,3486,0.0009021538340502773
Concord,3478,0.0009000834867546944
Compton,3460,0.0008954252053396327
Mobile,3459,0.0008951664119276849
Los Gatos,3445,0.0008915433041604147
Scottsdale,3443,0.0008910257173365189
Norristown,3426,0.0008866262293334051
Redlands,3424,0.0008861086425095094
Flushing,3419,0.00088481467544977
Aurora,3415,0.0008837795018019786
San Leandro,3413,0.0008832619149780828
Tuscaloosa,3398,0.0008793800137988647
Mesquite,3374,0.0008731689719121158
Knoxville,3372,0.0008726513850882201
San Mateo,3363,0.0008703222443806893
Escondido,3329,0.0008615232683744616
Conway,3320,0.0008591941276669308
Pompano Beach,3317,0.0008584177474310872
Hartford,3298,0.0008535006726040777
Hacienda Heights,3169,0.0008201163224628023
West Covina,3164,0.000818822355403063
Westminster,3164,0.000818822355403063
Moreno Valley,3124,0.0008084706189251482
Chester,3122,0.0008079530321012524
Berkeley,3093,0.0008004480231547642
Bellevue,3086,0.000798636469271129
Mesa,3084,0.0007981188824472333
